codigo_c;PRESTACIONES ;valor;codigo;Nomenclador;Clasificación;Coseguro
660010;ADRENALINA, urinaria  (CATECOLAMINA urinaria);54525;660010;NBU;BAJA;10000
660014;AGLUTININAS del SISTEMAS ABO.;6543;660014;NBU;BAJA;10000
660015;ALBUMINA - sérica;3271,5;660015;NBU;BAJA;10000
660016;ALCOHOL DEHIDROGENASA, ADH.;21810;660016;NBU;BAJA;10000
660017;ALCOHOL ETÍLICO - sangre (ALCOHOLEMIA);21810;660017;NBU;BAJA;10000
660018;ALDOLASA (Ald);13086;660018;NBU;BAJA;10000
660019;ALDOSTERONA.;32715;660019;NBU;BAJA;10000
660020;ALFA FETO PROTEINA (AFP);21810;660020;NBU;BAJA;10000
660022;AMILASA - sérica.;8724;660022;NBU;BAJA;10000
660023;AMILASA - urinaria.;8724;660023;NBU;BAJA;10000
660025;AMINOÁCIDOS FRACCIONADOS (Cromatografía - por fracción) -cualitativo;27262,5;660025;NBU;BAJA;10000
660027;AMINOACIDURIA FRACCIONADA (Cromatografía - por fracción) -cualitativo;27262,5;660027;NBU;BAJA;10000
660028;AMNIOTICO, LÍQUIDO CELULAS NARANJAS.;2181;660028;NBU;BAJA;10000
660029;AMNIOTICO, LÍQUIDO (Espectrofotometría - Test de Lisley);10905;660029;NBU;BAJA;10000
660030;AMNIOTICO, LÍQUIDO LECITINA - ESFINGOMIELINA.;10905;660030;NBU;BAJA;10000
660031;AMONEMIA.;43620;660031;NBU;BAJA;10000
660033;ANGIOTENSINA I;65430;660033;NBU;BAJA;10000
660035;ANTIBIOGRAMA (ATBG);19629;660035;NBU;BAJA;10000
660036;ANTIBIOGRAMA BACILO DE KOCH (7) siete antibióticos.;130860;660036;NBU;BAJA;10000
660040;ANTICUERPOS ANTIGLOMERULAR , (IFI);13086;660040;NBU;BAJA;10000
660041;ANTICUERPOS ANTIMEMBRANA BASAL, (IFI);34896;660041;NBU;BAJA;10000
660042;ANTICUERPO ANTIMUSCULO LISO (ASMA), (IFI);21810;660042;NBU;BAJA;10000
660046;ANTICUERPOS ANTITIROGLOBULINA (ATG);21810;660046;NBU;BAJA;10000
660049;ANTIDESIXIRRIBONUCLEASA - ADNEASA – Anti-DNA.;32715;660049;NBU;BAJA;10000
660051;"ANTIESTREPTOLISINAS ""O"" (ASO / ASTO / AELO),
cuantitativa";13086;660051;NBU;BAJA;10000
660053;ANTIFÚNGICOS - PRUEBA DE SENSIBILIDAD;32715;660053;NBU;BAJA;10000
660055;ANTIMITOCONDRIALES , ANTICUERPOS (AMA);21810;660055;NBU;BAJA;10000
