Practica Centro;Valor;COD NBU;Descripcion NBU;Similitud;Estado
"Parainfluenzae ""III"" Ac. Anti (igg)";27901,04;668151;PARAINFLUENZA III, Ac. IgM Anti-;0.503;Encontrado
"Parainfluenzae ""III"" Ac. Anti (igm)";41540,59;668151;PARAINFLUENZA III, Ac. IgM Anti-;0.6363;Encontrado
"Parainfluenzae ""III"" Ac. Anti (igm)";41540,59;668149;PARAINFLUENZA III, Ac. Anti-;0.5392;Encontrado
"Parainfluenzae ""III"" antígeno";34058,73;;;;No Encontrado
Paraproteinas - identificación;63137,48;;;;No Encontrado
Parathormona (molécula media);28959,65;668161;PARATHORMONA (PTH) (MOLECULA MEDIA);0.543;Encontrado
Parotiditis Ac. Anti (igg);27438,05;668178;PAROTIDITIS, Ac. IgG Anti-;1.0;Encontrado
Parotiditis Ac. Anti (igg);27438,05;668187;PAROTIDITIS, Ac. IgM Anti-;0.799;Encontrado
Parotiditis Ac. Anti (igg);27438,05;668212;PAROTIDITIS, Ag.;0.6079;Encontrado
Parotiditis Ac. Anti (igg);27438,05;668204;PAROTIDITIS, Ac. solubles;0.5523;Encontrado
Parotiditis Ac. Anti (igm);30493,79;668187;PAROTIDITIS, Ac. IgM Anti-;1.0;Encontrado
Parotiditis Ac. Anti (igm);30493,79;668178;PAROTIDITIS, Ac. IgG Anti-;0.799;Encontrado
Parotiditis Ac. Anti (igm);30493,79;668212;PAROTIDITIS, Ag.;0.6054;Encontrado
Parotiditis Ac. Anti (igm);30493,79;668204;PAROTIDITIS, Ac. solubles;0.55;Encontrado
Parvovirus humano B19 igg;61825,39;668241;PARVOVIRUS B19 - PCR;0.7333;Encontrado
Parvovirus humano B19 igg;61825,39;668229;PARVOVIRUS, Ac. IgG Anti-;0.5467;Encontrado
Parvovirus humano B19 igm;61841,50;668241;PARVOVIRUS B19 - PCR;0.7319;Encontrado
Parvovirus humano B19 igm;61841,50;668238;PARVOVIRUS, Ac. IgM Anti-;0.549;Encontrado
PEPTIDO C - ORINA -;21028,93;668281;PEPTIDO C;0.8593;Encontrado
Péptido c - suero;24592,35;668289;PÉPTIDO PROCOLÁGENO;0.5345;Encontrado
Peroxidasa Ac. Anti (TPO-Ac);25617,58;668315;PEROXIDASA TIROIDEO, Ac. Anti- (ATPO / TPO);0.6835;Encontrado
PIRIDINOLINA;31757,48;668348;PIRIDINOLINA;1.0;Encontrado
Plombemia;14183,80;;;;No Encontrado
Pneumocystis Carinii AG;42497,67;668426;PNEUMOCYSTIS CARINII, IFD;0.7238;Encontrado
PODER BACTERICIDA DEL SUERO;34567,06;668435;PODER BACTERICIDA DEL SUERO (PBS);0.8446;Encontrado
PODER BACTERICIDA DEL SUERO;34567,06;668440;PODER INHIBITORIO DEL SUERO (P.I.S.);0.6561;Encontrado
Poder inhibitorio del suero;57348,45;668440;PODER INHIBITORIO DEL SUERO (P.I.S.);1.0;Encontrado
Poder inhibitorio del suero;57348,45;668435;PODER BACTERICIDA DEL SUERO (PBS);0.5541;Encontrado
Polimerasa - cmv;257496,04;;;;No Encontrado
Polimerasa - enterovirus;283203,78;664691;ENTEROVIRUS - PCR;0.6679;Encontrado
Polimerasa - hepatitis b;248469,11;;;;No Encontrado
Polimerasa - hepatitis c pcr;222154,27;666011;HEPATITIS E - PCR;0.7294;Encontrado
Polimerasa - hiv - 1;273601,69;666278;HIV - P-24 - HIV 1 y 2 (Combo);0.5238;Encontrado
Polimerasa - mycob.tuberculosis;165651,19;;;;No Encontrado
Polimerasa adenovirus;236335,11;662446;ADENOVIRUS - PCR;0.6072;Encontrado
Polimerasa adenovirus;236335,11;662444;ADENOVIRUS, Ag.;0.5753;Encontrado
Polimerasa adenovirus;236335,11;662435;ADENOVIRUS, Ac. IgM, Anti-;0.5412;Encontrado
Polimerasa clhamydia trachomatis;248110,99;;;;No Encontrado
Polimerasa h.p.v.;281725,25;;;;No Encontrado
Polimerasa-toxoplasma gondii;196069,79;663756;Toxoplasma gondii - PCR en LCR;0.7081;Encontrado
Polimerasa-trypanos. cruzi (chagas);222921,26;;;;No Encontrado
Polimerasa-varicella zoster;266614,23;;;;No Encontrado
PRIMIDONA HPLC;12281,35;;;;No Encontrado
Prod.degradacion fibrinógeno;32602,41;;;;No Encontrado
Prolactina (post-trh);17129,58;;;;No Encontrado
Próstata específico ag. (psa);29125,99;;;;No Encontrado
Proteína C;73793,16;668640;PROTEÍNA S Total;0.7111;Encontrado
Proteína C;73793,16;668631;PROTEÍNA S Libre = Inmunoturbidimétrio;0.5258;Encontrado
Proteína C;73793,16;668614;PROTEÍNA C FUNCIONAL - Cromogénico;0.5007;Encontrado
Proteína C;73793,16;668648;PROTEÍNA S Funcional = coagulométrico;0.5007;Encontrado
Proteína s;71677,96;668640;PROTEÍNA S Total;0.7111;Encontrado
Proteína s;71677,96;668631;PROTEÍNA S Libre = Inmunoturbidimétrio;0.5258;Encontrado
Proteína s;71677,96;668614;PROTEÍNA C FUNCIONAL - Cromogénico;0.5007;Encontrado
Proteína s;71677,96;668648;PROTEÍNA S Funcional = coagulométrico;0.5007;Encontrado
PROTOPORFIRINA IX;13740,70;;;;No Encontrado
Prueba de auto hemólisis;40754,82;;;;No Encontrado
Prueba de Ham;23505,21;665715;HAM, PRUEBA DE;1.0;Encontrado
Prueba inestabilidad al isopropanol;38317,37;;;;No Encontrado
PRUEBA DE RESIST.GLOBUL. POST INCUBACION;26354,17;;;;No Encontrado
Prueba de sucrosa;41116,32;669212;SUCROSA, TEST DE;0.7142;Encontrado
PRUEBA DE TERMOLABILIDAD;26754,40;;;;No Encontrado
Psa libre;54904,50;662734;ANTÍGENO PROSTÁTICO ESPECÍFICO, Libre+Total (PSA- L+T);0.5605;Encontrado
Receptor de TSH Ac. Anti;53778,96;668802;RECEPTOR de TSH, Ac. Anti- (TRAB's o TRAB o TBII);0.5133;Encontrado
Recuento de colonias;3199,37;660176;COLONIAS, RECUENTO DE.;1.0;Encontrado
Resistencia a la proteína c activada;113409,71;668828;RESISTENCIA a la PROTEÍNA C ACTIVADA;1.0;Encontrado
Reticulina Anticuerpo anti;23696,37;668836;RETICULINA, Ac. Anti- (ARA);0.5422;Encontrado
Rotavirus materia fecal (antígeno);52341,30;;;;No Encontrado
Rubeola Ac. Anti (IGG) - MEIA;13456,10;661145;RUBEOLA, Ac. IgG Anti-;0.7817;Encontrado
Rubeola Ac. Anti (IGG) - MEIA;13456,10;661150;RUBEOLA, Ac. IgM Anti-;0.6353;Encontrado
Rubeola Ac. Anti (IGM) - MEIA;14219,98;661150;RUBEOLA, Ac. IgM Anti-;0.7828;Encontrado
Rubeola Ac. Anti (IGM) - MEIA;14219,98;661145;RUBEOLA, Ac. IgG Anti-;0.6363;Encontrado
S.T.H.(POST - ESTIM/INHIB);11428,97;;;;No Encontrado
SALICILEMIA (F.P.I.A.);13798,02;;;;No Encontrado
Sarampión Ac. Anti (igg);28123,24;;;;No Encontrado
