CODIGO;Descripción
110215;ESC.LOCAL DE LESION D/CUE
110216;APLIC.D/RADIUN EXTRA O IN
110217;COLOCACION DIU
110301;TRAT.QUIRURG.D/L/AGENESIA
110302;TRAT.QUIRUR.D/L/AGENESIA
110303;COLPORRAFIA ANTERIOR Y/O
110304;COLPORRAFIA P/HERIDA DEGA
110305;COLPORRAFIA POST.C/RECONS
110306;COLPOPEXIA POR VIA ABDOMI
110307;COLPOPEXIA COMBINADA
110308;COLPOCLESIS COMPLETA O PA
110309;COLPOTOMIA VAGINOTOMIA D/
110310;VAGINISMO OPERAC DE POZZI
110311;BIOPSIA VAGINA PUNCION VA
110312;VULVECTOMIA RADICAL
110313;VULVECTOMIA SIMPLE
110314;ESCIS.D/LABIOS MAYORES Y
110315;HIMENOTOMIA INC.Y DRENAJE
110316;EPISIORRAFIA PERINCORRAFI
110317;PERINEOPLASTIA EPISIOPERI
110401;PARTO
110402;EVACUACION UTERINA E/E/SE
110403;CESAREA CLASICA
110404;ATENCION D/ALUMBRAMIENTO
110405;AMNIOCENTESIS TRANSABDOMI
120201;COLUMNA CERVICAL DORSAL L
120202;ESTERNON ESCAPULA HUMERO
120203;PELVIS FEMUR TIBIA Y PERO
120204;CLAVICULA COSTILLAS ROTU.
120301;COLUMNA CERVICAL DORSAL L
120302;HUMERO PELVIS SACRO FEMUR
120303;CUB.RADIO TERCIO INFERIOR
120304;ESTERNON COSTI.CLAV.ESCA.
120305;METAC.EXEP.E/PRIMER METAC
120401;VERTEB.LAMININECTOMIA
120402;COXAL FEMUR HUMERO
120403;ESTER.ESCAP.CUBITO RADIO
120404;COST.CLAVIC.METACARPIA.ME
120405;PUNCION BIOPSIA D/VERTEBR
120406;PUNCION BIOPSIA D/CUAL.HU
120501;ESCAP.HUMERO ISQUION
120502;COXAL FEMUR TIBIA HUMERO
120503;CUBITO RADIO PERONE CARPO
120504;CLAVICU.ROTULA METATA O M
120601;FEMUR TIBIA TIBIA Y PERON
120602;HUMERO CUBITO Y/O RADIO A
120603;METARCARPIANO METATARSIAN
120701;CLAVICULA
120702;HUMERO
120703;CUB.RADIO CARPO HUESOS D/
120704;METACARPIANO
120705;UNA O MAS FALANG.D/UN MIS
120706;FEMUR TIBIA PERON
120707;ASTRAGALO CALCANEO OTRO H
120708;METATARSIANO UNA O MAS FA
120801;ASTROCENTESIS DIAG.TERAP.
120901;SACRO-ILIACA CONDRO-COSTA
120902;HOMBRO CADERA RODILLA
120903;METACARPO O METATARSO FAL
121001;CADERA
121002;RODILLA
121003;HOMBRO CODO MU#ECA CUELLO
121004;ESTERNO-CLAVIC.CARPO TARS
121005;ACRONIO-CLAV.METAC-FALANG
121101;COLUMNA CERVIC.DORSAL O L
121102;COL.CWERV.DORSAL O LUMB.C
121103;HOMBRO CODO
121104;ESTERNO-CLAV.MU#EC.TORSO-
121105;DOBLE ARTRODOSIS-CHOPART-
121106;TRIPLE ARTROSIS-TIBIOTAR-
121107;META-FALANG.METATA-FALANG
121201;ESTER-CLAV.ACROMIO-CLAV.C
121202;HOMB.CADER.RODILLA TEMPOR
121203;METAC.O METAT-FALANG.INTE
121204;ESCIS.O INCIS.BIOPSIA DRE
121301;COLUMNA CERVICAL DORSAL O
121302;CADERA RODILLA
121303;CLAV.HOMBRO CODO MU#ECA M
121304;METAC.O METET-FALANG.
121305;COLUMNA CERVIC.DORSAL O L
121306;CADERA RODILLA
121307;CLAV.HOMBRO CODO MU#.META
121308;METAC.O METAT-FALANGICA
121401;MIECTOMIAS MIOSITIS OSIF.
121402;INC.D/MUSC.INC D/LESION L
121501;EXPLOR.DRENAJE EXTRAC INC
121502;REPAR.Y SUTURA_TENORRAFIA
